run,variant,batch_size,seed,abm,metric,step,value
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,29,950.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,30,1042.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,31,1143.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,32,1278.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,33,1418.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,34,1600.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,35,1815.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,36,1980.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,37,2238.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,38,2504.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,39,2713.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,2,507.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,3,426.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,4,467.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,5,442.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,6,429.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,7,414.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,8,405.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,9,400.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,10,401.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,11,404.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,12,413.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,13,417.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,14,429.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,15,442.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,16,453.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,17,470.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,18,489.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,19,508.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,20,530.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,21,553.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,22,583.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,23,614.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,24,653.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,25,689.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,26,745.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,27,788.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,28,867.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,29,938.0
sgboba 128 abm16,aboba,128,seed3,16,adaptive_batch/batch_size,30,1026.0
