run,variant,batch_size,seed,abm,metric,step,value
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,16,15.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,17,15.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,18,16.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,19,16.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,20,17.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,21,18.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,22,19.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,23,20.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,24,21.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,25,22.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,26,24.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,27,25.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,28,28.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,29,30.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,30,33.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,31,37.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,32,42.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,33,48.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,34,56.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,35,67.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,36,84.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,37,106.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,38,141.0
adaboba 256 abm1,aboba,256,seed1,1,adaptive_batch/batch_size,39,193.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,2,10.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,3,10.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,4,11.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,5,11.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,6,12.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,7,12.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,8,12.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,9,12.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,10,13.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,11,13.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,12,13.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,13,14.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,14,14.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,15,14.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,16,15.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,17,15.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,18,16.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,19,16.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,20,17.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,21,18.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,22,19.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,23,20.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,24,21.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,25,22.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,26,24.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,27,26.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,28,28.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,29,30.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,30,33.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,31,37.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,32,42.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,33,48.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,34,56.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,35,68.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,36,83.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,37,108.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,38,144.0
adaboba 256 abm1,aboba,256,seed2,1,adaptive_batch/batch_size,39,195.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,2,10.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,3,10.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,4,11.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,5,11.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,6,12.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,7,11.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,8,13.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,9,12.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,10,13.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,11,13.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,12,13.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,13,14.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,14,14.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,15,14.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,16,15.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,17,15.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,18,16.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,19,16.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,20,17.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,21,18.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,22,19.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,23,20.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,24,21.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,25,22.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,26,24.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,27,26.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,28,28.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,29,30.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,30,33.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,31,37.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,32,42.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,33,48.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,34,56.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,35,68.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,36,84.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,37,105.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,38,142.0
adaboba 256 abm1,aboba,256,seed3,1,adaptive_batch/batch_size,39,193.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,2,10.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,2,10.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,3,10.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,3,31.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,4,12.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,4,22.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,5,11.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,5,23.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,6,12.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,6,23.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,7,12.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,7,24.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,8,12.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,8,24.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,9,12.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,9,25.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,10,13.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,10,26.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,11,13.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,11,26.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,12,13.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,12,27.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,13,14.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,13,28.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,14,14.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,14,28.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,15,14.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,15,30.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,16,15.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,16,30.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,17,15.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,17,31.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,18,16.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,18,33.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,19,16.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,19,34.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,20,18.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,20,35.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,21,18.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,21,37.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,22,19.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,22,39.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,23,20.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,23,41.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,24,21.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,24,44.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,25,22.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,25,46.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,26,24.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,26,50.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,27,26.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,27,53.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,28,27.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,28,58.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,29,31.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,29,64.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,30,33.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,30,71.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,31,37.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,31,79.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,32,42.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,32,90.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,33,48.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,33,103.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,34,56.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,34,122.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,35,68.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,35,148.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,36,84.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,36,185.0
adaboba 64 abm1,aboba,64,seed1,1,adaptive_batch/batch_size,37,107.0
