run,variant,batch_size,seed,abm,metric,step,value
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,68,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,69,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,70,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,71,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,72,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,73,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,74,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,75,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,76,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,77,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,78,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,79,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,80,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,81,8.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,82,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,83,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,84,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,85,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,86,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,87,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,88,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,89,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,90,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,91,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,92,9.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,93,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,94,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,95,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,96,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,97,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,98,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,99,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,100,10.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,101,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,102,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,103,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,104,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,105,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,106,12.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,107,11.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,108,12.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,109,12.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,110,12.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,111,12.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,112,13.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,113,13.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,114,13.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,115,13.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,116,14.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,117,14.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,118,14.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,119,14.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,120,15.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,121,14.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,122,15.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,123,15.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,124,16.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,125,16.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,126,16.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,127,17.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,128,17.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,129,17.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,130,18.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,131,18.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,132,18.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,133,19.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,134,19.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,135,20.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,136,20.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,137,20.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,138,21.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,139,21.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,140,22.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,141,23.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,142,23.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,143,23.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,144,24.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,145,25.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,146,26.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,147,26.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,148,26.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,149,28.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,150,28.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,151,30.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,152,29.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,153,32.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,154,31.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,155,32.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,156,31.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,157,35.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,158,36.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,159,35.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,160,35.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,161,38.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,162,40.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,163,42.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,164,39.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,165,40.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,166,49.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,167,44.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,168,41.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,169,59.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,170,55.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,171,55.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,172,57.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,173,58.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,174,58.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,175,66.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,176,78.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,177,56.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,178,72.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,179,90.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,180,106.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,181,114.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,182,113.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,183,116.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,184,139.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,185,124.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,186,143.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,187,212.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,188,194.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,189,302.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,190,300.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,191,364.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,192,417.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,193,471.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,194,463.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,195,622.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,196,744.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,197,708.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,198,1148.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,199,1083.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,2,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,3,4.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,4,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,5,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,6,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,7,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,8,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,9,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,10,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,11,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,12,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,13,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,14,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,15,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,16,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,17,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,18,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,19,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,20,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,21,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,22,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,23,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,24,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,25,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,26,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,27,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,28,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,29,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,30,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,31,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,32,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,33,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,34,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,35,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,36,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,37,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,38,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,39,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,40,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,41,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,42,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,43,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,44,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,45,6.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,46,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,47,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,48,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,49,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,50,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,51,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,52,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,53,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,54,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,55,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,56,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,57,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,58,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,59,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,60,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,61,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,62,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,63,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,64,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,65,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,66,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,67,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,68,7.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,69,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,70,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,71,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,72,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,73,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,74,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,75,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,76,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,77,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,78,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,79,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,80,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,81,9.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,82,8.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,83,9.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,84,9.0
sgboba 256 abm2,aboba,256,seed1,2,adaptive_batch/batch_size,85,9.0
